"LATITUDE,N,32,10","LONGITUDE,N,32,10","BRIGHTNESS,N,32,10","SCAN,N,32,10","TRACK,N,32,10","ACQ_DATE,D","ACQ_TIME,C,4","SATELLITE,C,1","CONFIDENCE,N,6,0","VERSION,C,6","BRIGHT_T31,N,32,10","FRP,N,32,10","DAYNIGHT,C,1"
43.9044900000,-121.6719500000,308.4400000000,1.0600000000,1.0300000000,10/04/24,1049,A,70,6.1NRT,283.3300000000,11.8100000000,N
43.9028600000,-121.6595600000,317.8800000000,1.0600000000,1.0300000000,10/04/24,1049,A,96,6.1NRT,286.4100000000,20.2700000000,N
43.9012100000,-121.6470200000,320.5500000000,1.0500000000,1.0300000000,10/04/24,1049,A,100,6.1NRT,286.0400000000,22.8000000000,N
43.8944100000,-121.6673000000,307.6300000000,1.0600000000,1.0300000000,10/04/24,1049,A,72,6.1NRT,285.6600000000,12.4300000000,N
43.8920500000,-122.1501000000,319.2400000000,1.0900000000,1.0400000000,10/04/24,1049,A,98,6.1NRT,285.7000000000,20.7500000000,N
43.8903800000,-122.1370500000,366.8500000000,1.0900000000,1.0400000000,10/04/24,1049,A,100,6.1NRT,291.7600000000,122.1100000000,N
43.8932100000,-122.2336300000,304.3000000000,1.0900000000,1.0400000000,10/04/24,1049,A,59,6.1NRT,286.4400000000,9.7600000000,N
43.8847900000,-122.1670500000,311.9200000000,1.0900000000,1.0400000000,10/04/24,1049,A,84,6.1NRT,288.6900000000,14.6700000000,N
43.8831300000,-122.1539900000,319.4800000000,1.0900000000,1.0400000000,10/04/24,1049,A,99,6.1NRT,289.1600000000,21.7500000000,N
43.8814700000,-122.1408500000,301.4300000000,1.0900000000,1.0400000000,10/04/24,1049,A,37,6.1NRT,287.5900000000,7.3600000000,N
43.6065900000,-122.2849900000,300.7500000000,1.0900000000,1.0400000000,10/04/24,1049,A,33,6.1NRT,284.9500000000,7.0900000000,N
43.6047900000,-122.2711600000,317.7700000000,1.0900000000,1.0400000000,10/04/24,1049,A,96,6.1NRT,289.3200000000,20.6500000000,N
43.5307200000,-122.2065100000,302.2800000000,1.0800000000,1.0400000000,10/04/24,1049,A,48,6.1NRT,286.0800000000,8.4400000000,N
43.5289900000,-122.1929600000,301.5000000000,1.0800000000,1.0400000000,10/04/24,1049,A,42,6.1NRT,285.3300000000,8.2600000000,N
45.2464800000,-114.4601400000,351.1700000000,1.3200000000,1.1400000000,10/04/24,1049,A,100,6.1NRT,278.9700000000,103.8900000000,N
45.2431300000,-114.4429900000,318.4300000000,1.3200000000,1.1400000000,10/04/24,1049,A,97,6.1NRT,277.0800000000,31.0100000000,N
45.2485200000,-114.4673100000,332.5200000000,1.3200000000,1.1400000000,10/04/24,1049,A,100,6.1NRT,277.5800000000,54.2400000000,N
45.2451400000,-114.4494900000,323.1700000000,1.3200000000,1.1400000000,10/04/24,1049,A,100,6.1NRT,277.7300000000,37.4900000000,N
45.2419000000,-114.4324000000,310.6400000000,1.3200000000,1.1400000000,10/04/24,1049,A,81,6.1NRT,276.4200000000,21.3800000000,N
45.2529000000,-114.8715400000,300.0100000000,1.2700000000,1.1200000000,10/04/24,1049,A,8,6.1NRT,279.2500000000,10.4400000000,N
44.8070900000,-115.1148300000,311.5000000000,1.2600000000,1.1200000000,10/04/24,1049,A,52,6.1NRT,279.4900000000,18.9700000000,N
44.8069600000,-115.1211900000,303.2500000000,1.2600000000,1.1200000000,10/04/24,1049,A,36,6.1NRT,278.3400000000,12.1400000000,N
44.8042900000,-115.1069300000,303.6000000000,1.2600000000,1.1200000000,10/04/24,1049,A,46,6.1NRT,279.6300000000,12.6200000000,N
44.5076700000,-115.7002300000,314.3300000000,1.2100000000,1.0900000000,10/04/24,1049,A,89,6.1NRT,278.3400000000,22.4400000000,N
44.3712500000,-115.7989700000,310.4900000000,1.2000000000,1.0900000000,10/04/24,1049,A,25,6.1NRT,284.6600000000,15.6900000000,N
44.3684800000,-115.7840400000,316.2000000000,1.2100000000,1.0900000000,10/04/24,1049,A,62,6.1NRT,285.4900000000,21.3600000000,N
44.3667000000,-115.7917900000,308.6600000000,1.2100000000,1.0900000000,10/04/24,1049,A,50,6.1NRT,285.5300000000,14.8700000000,N
44.3598800000,-115.8093200000,302.4500000000,1.2000000000,1.0900000000,10/04/24,1049,A,29,6.1NRT,282.7300000000,10.4600000000,N
44.3383100000,-119.6925600000,326.8500000000,1.0000000000,1.0000000000,10/04/24,1049,A,100,6.1NRT,287.1900000000,27.0500000000,N
43.5613700000,-116.0649900000,365.8500000000,1.2100000000,1.0900000000,10/04/24,1049,A,100,6.1NRT,290.4600000000,140.4600000000,N
43.5587400000,-116.0505200000,367.6600000000,1.2100000000,1.1000000000,10/04/24,1049,A,100,6.1NRT,290.3900000000,148.0400000000,N
43.5519100000,-116.0681800000,338.5400000000,1.2100000000,1.0900000000,10/04/24,1049,A,100,6.1NRT,286.8700000000,58.2000000000,N
43.5492900000,-116.0538200000,321.1600000000,1.2100000000,1.1000000000,10/04/24,1049,A,100,6.1NRT,284.2900000000,28.5000000000,N
44.9486800000,-75.4153500000,307.3500000000,1.1900000000,1.0900000000,10/04/24,1459,T,65,6.1NRT,291.3500000000,7.6000000000,D
44.9464100000,-75.4227100000,304.8000000000,1.1900000000,1.0900000000,10/04/24,1459,T,60,6.1NRT,292.0000000000,5.9000000000,D
49.9771900000,-100.8112500000,304.7300000000,1.4800000000,1.2000000000,10/04/24,1637,T,56,6.1NRT,273.3200000000,16.3800000000,D
49.9665600000,-100.8134400000,310.1800000000,1.4800000000,1.2000000000,10/04/24,1637,T,53,6.1NRT,271.2100000000,22.7300000000,D
48.4023600000,-90.1363700000,305.7300000000,1.3100000000,1.1300000000,10/04/24,1637,T,62,6.1NRT,285.7100000000,13.6600000000,D
47.9388200000,-95.9848000000,303.9700000000,1.0100000000,1.0000000000,10/04/24,1637,T,58,6.1NRT,286.6900000000,5.1700000000,D
44.6162500000,-93.2053500000,308.6800000000,1.1600000000,1.0700000000,10/04/24,1637,T,67,6.1NRT,292.4600000000,8.8700000000,D
44.9016300000,-107.5890100000,327.6000000000,3.0000000000,1.6500000000,10/04/24,1639,T,84,6.1NRT,293.7800000000,115.7900000000,D
44.8872000000,-107.5947600000,342.0000000000,3.0000000000,1.6500000000,10/04/24,1639,T,92,6.1NRT,293.9200000000,220.7800000000,D
44.8852100000,-107.5502900000,342.0000000000,2.9900000000,1.6400000000,10/04/24,1639,T,92,6.1NRT,293.9800000000,215.0300000000,D
44.8708100000,-107.5560100000,311.5300000000,2.9900000000,1.6400000000,10/04/24,1639,T,50,6.1NRT,293.7200000000,43.0500000000,D
44.8562600000,-107.5585500000,337.1500000000,2.9900000000,1.6400000000,10/04/24,1639,T,90,6.1NRT,293.2600000000,184.3300000000,D
44.8863800000,-107.6031800000,326.3900000000,3.0000000000,1.6500000000,10/04/24,1639,T,77,6.1NRT,293.5500000000,108.5000000000,D
44.8842000000,-107.5597600000,345.9900000000,2.9900000000,1.6400000000,10/04/24,1639,T,94,6.1NRT,294.4800000000,249.8400000000,D
44.8698000000,-107.5649100000,316.8600000000,2.9900000000,1.6400000000,10/04/24,1639,T,73,6.1NRT,293.5400000000,65.5700000000,D
44.8551700000,-107.5655800000,328.7200000000,2.9900000000,1.6400000000,10/04/24,1639,T,85,6.1NRT,292.2300000000,127.0300000000,D
