LATITUDE;LONGITUDE;BRIGHT_TI4;SCAN;TRACK;ACQ_DATE;ACQ_TIME;SATELLITE;CONFIDENCE;VERSION;BRIGHT_TI5;FRP;DAYNIGHT;
4370126,00;-8838431,00;299.79; 0.57 ;0.43;20240928,00;0816;N20;nominal;2.0NRT;285.32;0.76;N;
4453696,00;-9291753,00;302.41; 0.4 ;0.37;20240928,00;0816;N20;nominal;2.0NRT;285.12;0.46;N;
4368161,00;-9087189,00;296.09; 0.46 ;0.39;20240928,00;0818;N20;nominal;2.0NRT;285.38;0.34;N;
4499424,00;-10862943,00;299.96; 0.43 ;0.62;20240928,00;0818;N20;nominal;2.0NRT;282.17;0.74;N;
4490143,00;-10756596,00;309.74; 0.38 ;0.59;20240928,00;0818;N20;nominal;2.0NRT;284.97;3.44;N;
4490117,00;-10755978,00;315.07; 0.38 ;0.59;20240928,00;0818;N20;nominal;2.0NRT;284.21;2.81;N;
4489621,00;-10757101,00;328.35; 0.38 ;0.59;20240928,00;0818;N20;nominal;2.0NRT;289.04;3.44;N;
4489594,00;-10756455,00;334.87; 0.38 ;0.59;20240928,00;0818;N20;nominal;2.0NRT;290.86;3.44;N;
4489567,00;-10755802,00;319.29; 0.38 ;0.59;20240928,00;0818;N20;nominal;2.0NRT;285.87;2.81;N;
4489078,00;-10757119,00;311.06; 0.38 ;0.59;20240928,00;0818;N20;nominal;2.0NRT;285.42;1.09;N;
4489048,00;-10756372,00;296.61; 0.38 ;0.59;20240928,00;0818;N20;nominal;2.0NRT;282.57;1.09;N;
4214199,00;-8907936,00;302.6; 0.57 ;0.43;20240928,00;0818;N20;nominal;2.0NRT;286.24;1.14;N;
4411479,00;-10328217,00;302.23; 0.45 ;0.47;20240928,00;0818;N20;nominal;2.0NRT;286.15;1.17;N;
44441,00;-11394046,00;313.27; 0.78 ;0.78;20240928,00;0818;N20;nominal;2.0NRT;283.07;4.62;N;
4443384,00;-11393659,00;312.18; 0.78 ;0.78;20240928,00;0818;N20;nominal;2.0NRT;283.46;3.54;N;
4443391,00;-11393078,00;298.11; 0.78 ;0.78;20240928,00;0818;N20;nominal;2.0NRT;283.31;3.54;N;
4442648,00;-11394666,00;305.8; 0.78 ;0.78;20240928,00;0818;N20;nominal;2.0NRT;281.35;4.81;N;
